latitude,longitude,year,count
-20.949535369873047,55.3159294128418,2021.0,2
0.0,0.0,2020.0,1
0.0,0.0,2022.0,2
0.0,0.0,2024.0,2
3.7682,1.29456,2016.0,2
4.965408,4.5715998,2023.0,1
5.154622,-52.647232,2022.0,1
14.486405978847024,-60.90220807348796,2022.0,1
15.999101989340252,-61.72048039949465,2022.0,1
16.01,-61.41,2022.0,1
16.213867,-61.521867,2024.0,4
16.2592,-61.513367,2024.0,2
41.390111,9.16492,2021.0,1
41.394411,9.16322,2024.0,1
41.394523,9.16329,2024.0,1
41.492517,9.055857,2020.0,2
41.498469,9.09896,2022.0,2
41.498469,9.09896,2023.0,4
41.50017664596053,9.136921215344072,2023.0,3
41.524884,9.271479,2022.0,6
41.535,9.269352,2022.0,6
41.5372318,9.2747532,2023.0,6
41.586926,9.275711,2022.0,2
41.5930127,9.2785984,2022.0,1
41.599468,9.275828,2019.0,2
41.602006,9.274444,2022.0,2
41.605164,9.278095,2020.0,2
41.60608,9.277777,2021.0,1
41.606221,9.277811,2021.0,1
41.606329,9.277841,2021.0,1
41.60646,9.277871,2021.0,1
41.60664,9.277918,2021.0,1
41.612646,9.298676,2021.0,4
41.64414,8.9579,2022.0,1
41.665633,9.310802,2022.0,2
41.672596,9.30201,2022.0,4
41.672692,8.918164,2022.0,1
41.680351,9.317887,2020.0,2
41.6820949,9.3749664,2021.0,2
41.68211087,8.92031846,2022.0,4
41.6956594,8.8882184,2022.0,4
41.697076,8.850577,2023.0,4
41.697254,9.346448,2021.0,1
41.69983680000001,9.3451356,2023.0,6
41.707589,8.793688,2021.0,1
41.842561,8.76753,2024.0,1
41.856361,9.399713,2021.0,2
41.85874031254947,8.7970384,2022.0,6
41.88360813,8.78088643,2024.0,6
41.90721543,8.82222665,2023.0,4
41.907501,8.82367,2019.0,2
41.908579309038,8.657888301758055,2022.0,1
41.90917768392654,8.639024184472166,2022.0,1
41.914243,8.729369,2021.0,2
41.9179,8.73686,2021.0,2
41.920296,8.793199,2023.0,8
41.924136,9.389963,2021.0,1
41.926707,8.738583,2023.0,2
41.93042,8.732313,2021.0,2
41.9307,8.73422,2022.0,1
41.932806,8.757931,2021.0,2
41.93308,8.75702,2021.0,6
41.935176,8.751971,2021.0,2
41.941442,8.746823,2022.0,2
41.94325812908591,8.746361669308984,2022.0,6
41.944101,8.770667,2024.0,5
41.944355,8.747246,2024.0,14
41.945632,8.755878,2021.0,2
41.947088,8.763026,2021.0,1
41.949402,8.77721,2018.0,4
41.9506,8.77347,2017.0,2
41.9506,8.77347,2023.0,4
41.951808,8.777078,2021.0,2
41.951899,41.951899,2024.0,8
41.952599,8.78786,2024.0,2
41.953035,8.78882,2020.0,2
41.959275,8.809924,2023.0,2
41.983815,8.797071,2021.0,2
41.995246,9.445071,2020.0,1
41.995246,9.445072,2020.0,1
41.995246,9.445073,2020.0,1
41.995246,9.445074,2020.0,1
41.995246,9.445075,2020.0,1
42.00559298,9.45740696,2022.0,2
42.009528,8.865745,2021.0,1
42.017286,9.406403,2021.0,1
42.073927,9.301912,2023.0,2
42.11241,9.47535,2021.0,2
42.113244,9.507518,2021.0,2
42.1140208,9.5139025,2022.0,2
42.130362,8.705408,2021.0,1
42.169635,9.165863,2021.0,1
42.173277,8.887103,2022.0,2
42.252954,8.795516,2021.0,1
42.26466,9.54776,2024.0,1
42.301294,9.158238,2020.0,2
42.301834,9.157313,2021.0,1
42.302745,9.159567,2021.0,1
42.334186,9.008317,2021.0,1
42.37,2.58,2022.0,1
42.37344,9.52969,2024.0,1
42.385314,2.611636,2022.0,2
42.401596,8.697524,2022.0,1
42.40329746006313,2.481824113492617,2024.0,2
42.419621,1.981772,2024.0,2
42.434095,1.945027,2022.0,2
42.4414318950848,3.16545188426971,2022.0,2
42.4479,9.506677,2022.0,1
42.45,9.2,2021.0,1
42.457564,2.636505,2017.0,2
42.457663,2.037937,2022.0,2
42.462396,1.936699,2017.0,2
42.466325,9.20858,2022.0,1
42.473142,2.671695,2022.0,2
42.473988,2.661153,2021.0,2
42.475796,2.101833,2022.0,2
42.480145,3.135809,2024.0,3
42.480463,3.133021,2023.0,3
42.4805284,2.6714773,2023.0,2
42.480983,3.129696,2024.0,2
42.481541,3.126338,2017.0,2
42.4851965966241,2.74641036987305,2022.0,2
42.487135,1.945134,2022.0,2
