code_geo,GEO_OBJECT,FREQ,type_population,annee,valeur_population
21204,COM,A,Population municipale,2016,77
21015,COM,A,Population totale,2016,109
18166,COM,A,Population municipale,2016,589
18231,COM,A,Population municipale,2016,695
18238,COM,A,Population totale,2016,135
21086,COM,A,Population municipale,2016,1241
19108,COM,A,Population municipale,2016,64
21106,COM,A,Population comptée à part,2016,13
18258,COM,A,Population totale,2016,725
18180,COM,A,Population comptée à part,2016,65
04130,COM,A,Population municipale,2016,192
04068,COM,A,Population municipale,2016,824
07094,COM,A,Population totale,2016,173
06072,COM,A,Population totale,2016,193
05116,COM,A,Population municipale,2016,195
06054,COM,A,Population totale,2016,4545
14377,COM,A,Population comptée à part,2016,16
14229,COM,A,Population comptée à part,2016,26
13014,COM,A,Population comptée à part,2016,111
14064,COM,A,Population totale,2016,252
14193,COM,A,Population comptée à part,2016,20
14325,COM,A,Population municipale,2016,3064
22266,COM,A,Population comptée à part,2016,346
08143,COM,A,Population municipale,2016,79
08192,COM,A,Population municipale,2016,87
08159,COM,A,Population comptée à part,2016,3
10230,COM,A,Population comptée à part,2016,12
09133,COM,A,Population totale,2016,22
10336,COM,A,Population municipale,2016,406
10014,COM,A,Population totale,2016,175
09217,COM,A,Population totale,2016,177
10281,COM,A,Population totale,2016,302
09171,COM,A,Population comptée à part,2016,0
14672,COM,A,Population municipale,2016,847
14660,COM,A,Population municipale,2016,95
15199,COM,A,Population comptée à part,2016,1
15248,COM,A,Population comptée à part,2016,11
14699,COM,A,Population municipale,2016,3719
15007,COM,A,Population comptée à part,2016,7
11086,COM,A,Population municipale,2016,858
11333,COM,A,Population comptée à part,2016,3
11415,COM,A,Population totale,2016,114
11007,COM,A,Population comptée à part,2016,6
12139,COM,A,Population totale,2016,134
19222,COM,A,Population comptée à part,2016,6
21133,COM,A,Population totale,2016,304
19147,COM,A,Population municipale,2016,632
21056,COM,A,Population comptée à part,2016,10
19095,COM,A,Population municipale,2016,134
21144,COM,A,Population comptée à part,2016,0
19048,COM,A,Population totale,2016,382
18280,COM,A,Population totale,2016,732
18229,COM,A,Population municipale,2016,623
19129,COM,A,Population municipale,2016,682
19279,COM,A,Population municipale,2016,375
21074,COM,A,Population comptée à part,2016,3
08395,COM,A,Population comptée à part,2016,5
08205,COM,A,Population comptée à part,2016,3
08158,COM,A,Population totale,2016,293
07168,COM,A,Population comptée à part,2016,17
07136,COM,A,Population comptée à part,2016,1
07185,COM,A,Population totale,2016,694
08182,COM,A,Population totale,2016,58
08027,COM,A,Population municipale,2016,102
07235,COM,A,Population comptée à part,2016,7
08102,COM,A,Population totale,2016,99
08365,COM,A,Population municipale,2016,1399
08020,COM,A,Population municipale,2016,64
10412,COM,A,Population comptée à part,2016,13
11016,COM,A,Population comptée à part,2016,1
11198,COM,A,Population totale,2016,1090
11168,COM,A,Population totale,2016,98
10351,COM,A,Population municipale,2016,366
11369,COM,A,Population municipale,2016,2877
11001,COM,A,Population municipale,2016,579
11174,COM,A,Population comptée à part,2016,0
11189,COM,A,Population municipale,2016,87
11269,COM,A,Population totale,2016,2424
12071,COM,A,Population municipale,2016,353
11054,COM,A,Population comptée à part,2016,11
16330,COM,A,Population comptée à part,2016,27
17117,COM,A,Population municipale,2016,142
17313,COM,A,Population municipale,2016,391
17282,COM,A,Population totale,2016,204
18065,COM,A,Population municipale,2016,835
17476,COM,A,Population totale,2016,274
17395,COM,A,Population municipale,2016,489
16337,COM,A,Population municipale,2016,882
17065,COM,A,Population totale,2016,1705
17077,COM,A,Population comptée à part,2016,14
18101,COM,A,Population totale,2016,316
17156,COM,A,Population comptée à part,2016,3
15011,COM,A,Population totale,2016,165
14734,COM,A,Population municipale,2016,313
16242,COM,A,Population municipale,2016,1346
16030,COM,A,Population totale,2016,1046
16188,COM,A,Population comptée à part,2016,3
15032,COM,A,Population comptée à part,2016,1
14665,COM,A,Population comptée à part,2016,3
15168,COM,A,Population totale,2016,711
14712,COM,A,Population comptée à part,2016,141
15134,COM,A,Population municipale,2016,839
14660,COM,A,Population comptée à part,2016,3
16138,COM,A,Population totale,2016,3897
09293,COM,A,Population totale,2016,731
10134,COM,A,Population municipale,2016,100
10100,COM,A,Population comptée à part,2016,25
09102,COM,A,Population municipale,2016,172
09077,COM,A,Population comptée à part,2016,1
10271,COM,A,Population totale,2016,621
10319,COM,A,Population totale,2016,373
10080,COM,A,Population comptée à part,2016,13
09223,COM,A,Population municipale,2016,540
09229,COM,A,Population comptée à part,2016,9
09222,COM,A,Population municipale,2016,24
10146,COM,A,Population totale,2016,89
06024,COM,A,Population comptée à part,2016,2
04191,COM,A,Population municipale,2016,13
07082,COM,A,Population totale,2016,211
04187,COM,A,Population comptée à part,2016,1
07067,COM,A,Population totale,2016,286
05159,COM,A,Population totale,2016,96
