objetID;dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;zD;prF;depPrF;concessionPrF;absF;cumulF;zF;cote;voie;accrochage;anneeMesureTrafic;typeComptageTrafic;typeComptageTrafic_lib;TMJA;ratio_PL;latitudeD;longitudeD;latitudeF;longitudeF
TMJ19_10;01/01/2019;A0001;2818;8;93;N;700;8707;0;11;93;N;513;11525;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;196501.0;50;48.94242595082009;2.432543552082936;48.957787804554606;2.4629711116626942
TMJ19_11;01/01/2019;A0001;678;11;93;N;513;11525;0;12;93;N;200;12203;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;122500.0;;48.957787804554606;2.4629711116626942;48.96184933121672;2.469992433439696
TMJ19_12;01/01/2019;A0001;1202;12;93;N;200;12203;0;0;95;N;0;13405;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;122500.0;;48.96184933121672;2.469992433439696;48.96953461029232;2.481598466566491
TMJ19_13;01/01/2019;A0001;580;0;95;N;0;13405;0;14;95;N;0;13985;0;I;0;ACCROCHE;0.0;;;;;48.96953461029232;2.481598466566491;48.97324587045501;2.4872011459856154
TMJ19_14;01/01/2019;A0001;4820;14;95;N;0;13985;0;18;95;N;810;18805;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;98800.0;;48.97324587045501;2.4872011459856154;49.007323413656515;2.527306897432613
TMJ19_15;01/01/2019;A0001;70;18;95;N;810;18805;0;19;95;C;0;18875;0;I;0;ACCROCHE;0.0;;;;;49.007323413656515;2.527306897432613;49.00901568238265;2.5281635853928845
Sanef_1;01/01/2019;A0001;1499;19;95;C;0;18875;0;20;95;C;499;20374;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;100582.0;17,01;49.00901568238265;2.5281635853928845;49.02185597150763;2.534685310737399
NbILnCD_section1_Sanef_1;01/01/2019;A0001;242;20;95;C;499;20374;0;20;95;C;741;20616;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;100582.0;17,01;49.02185597150763;2.534685310737399;49.02368772371014;2.5356132870302135
NbILnCD_section2_Sanef_1;01/01/2019;A0001;7132;20;95;C;741;20616;0;27;95;C;873;27748;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;100582.0;17,01;49.02368772371014;2.5356132870302135;49.08640948452828;2.5511112103514453
Sanef_2;01/01/2019;A0001;2777;27;95;C;873;27748;0;30;95;C;650;30525;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;88718.0;17,69;49.08640948452828;2.5511112103514453;49.111223871379856;2.5527747374637366
NbILnCD_section1_Sanef_2;01/01/2019;A0001;1610;30;95;C;650;30525;0;32;60;C;260;32135;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;88718.0;17,69;49.111223871379856;2.5527747374637366;49.125271804242026;2.5573214103551876
Sanef_3;01/01/2019;A0001;10166;32;60;C;260;32135;0;42;60;C;426;42301;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;85306.0;18,26;49.125271804242026;2.5573214103551876;49.20561223058432;2.611147835735164
